,Year,EBS_SC2,E166_SC2,W166_SC2,EBS_SC3,E166_SC3,W166_SC3,EBS_SC4,E166_SC4,W166_SC4,EBS_SC5,E166_SC5,W166_SC5,EBS_SC_TOTAL,E166_SC_TOTAL,W166_SC_TOTAL,EBS_ovig,E166_ovig,W166_ovig,EBS_os,E166_os,W166_os
1,1975,118415698.9,58405238.27,40722443.9,39162963.51,14663339.14,24499624.37,2948616.193,2815100.768,133515.4247,2374729.874,2207019.655,167710.2196,146770804.4,81136113.51,65634690.93,146770804.4,81136113.51,65634690.93,42111579.7,17478439.91,24633139.79
2,1976,113793165.7,72295431.96,46120266.99,20149202.98,15319047.52,4830155.467,33598.58076,33598.58076,0,0,0,0,141235210.8,88005006.49,53230204.28,141235210.8,88005006.49,53230204.28,20182801.56,15352646.1,4830155.467
3,1977,34049356.99,92643912.95,21149252.75,61270188.89,43017955.47,18252233.42,1029880.584,928323.886,101556.6981,0,0,0,182457526.5,137697110.4,44760416.09,182457526.5,137697110.4,44760416.09,62300069.47,43946279.35,18353790.11
4,1978,76852010.53,8839142.487,25210214.5,53931804.6,37921499.18,16010305.42,25127720,24004468.18,1123251.828,7726554.347,7670771.48,55782.86731,126126794.9,78792840.22,47333954.71,126157472.5,78792840.22,47364632.27,79059524.6,61925967.36,17133557.25
5,1979,343037341.2,2107405.109,74744605.42,20618114.46,8043583.432,12574531.02,2729661.53,1442965.131,1286696.399,454633.983,454633.983,0,119166072.4,12304854.73,106861217.6,119166072.4,12304854.73,106861217.6,23347775.99,9486548.563,13861227.42
6,1980,223995840.3,11985199.86,331052141.3,33569855.1,10391685.7,23178169.39,24696408.1,16593164.37,8103243.728,7643418.025,5358304.273,2285113.752,422846549,45495113.52,377351435.5,422846549,45495113.52,377351435.5,58266263.19,26984850.07,31281413.12
7,1981,40268517.14,4326378.69,219669461.7,37120990.42,14443402.56,22677587.86,18105860.12,11454508.6,6651351.516,921734.8249,921734.8249,0,281303064.5,31544105.89,249758958.6,281303064.5,31544105.89,249758958.6,55226850.53,25897911.16,29328939.38
8,1982,6884361.831,4588484.467,35680032.67,391169602.8,9241855.601,381927747.2,13800790.35,10402661.38,3398128.969,1854053.67,1546070.606,307983.0638,447525033.3,26161930.36,421363103,447525033.3,26161930.36,421363103,404970393.2,19644516.98,385325876.2
9,1983,8130504.589,3419197.848,3465163.983,97672490.8,6620250.473,91052240.33,16065444.45,4150774.957,11914669.5,2536555.923,2403692.52,132863.4032,123292689.2,16622610.83,106670078.3,123292689.2,16622610.83,106670078.3,113737935.3,10771025.43,102966909.8
10,1984,6115460.659,1534344.691,6596159.898,28802030.34,6314250.066,22487780.27,43718666.99,6357217.127,37361449.86,535164.001,281843.0582,253320.9428,81874936.39,14521729.19,67353207.2,81874936.39,14521729.19,67353207.2,72520697.33,12671467.19,59849230.13
11,1985,6144894.334,4234826.955,1880633.704,12768766.69,4447023.021,8321743.666,7705146.048,572712.8994,7132433.149,135720.1134,135720.1134,0,26752957.18,9390282.988,17362674.19,26752957.18,9390282.988,17362674.19,20473912.73,5019735.92,15454176.81
12,1986,14250961.05,2773288.281,3371606.053,2782498.779,1521557.984,1260940.795,3589647.188,2168573.574,1421073.614,917953.0283,225072.3452,692880.6831,13875090.4,6840450.728,7034639.672,13875090.4,6840450.728,7034639.672,6372145.967,3690131.558,2682014.409
13,1987,101522630.3,7155855.615,7095105.435,5789072.202,2997558.656,2791513.546,4152302.429,2496855.009,1655447.421,59642.74473,59642.74473,0,24756162.67,12855629.3,11900533.37,24756162.67,12855629.3,11900533.37,9941374.631,5494413.664,4446960.966
14,1988,50863013.32,73133637.22,28388993.13,14839815.29,7999815.027,6840000.266,1009182.264,723374.6226,285807.6412,31664.60047,31664.60047,0,119459260,82329479.43,37129780.58,119459260,82329479.43,37129780.58,15848997.56,8723189.65,7125807.908
15,1989,73386019.84,33784499.08,17078514.25,39904268.99,18679441.24,21224827.75,3616030.213,1566374.899,2049655.314,179711.68,29593.5101,150118.1699,98353955.55,56116300.23,42237655.32,98353955.55,56116300.23,42237655.32,43520299.21,20245816.14,23274483.07
16,1990,50922811.51,36578156.54,36807863.3,115592441.3,52166243.9,63426197.37,13168619.39,10565015.02,2603604.368,30747.21749,30747.21749,0,206217130.3,100573845.5,105643284.8,206217130.3,100573845.5,105643284.8,128761060.7,62731258.92,66029801.74
17,1991,27651299.22,23000604.4,27922207.11,134596978.8,75938884.26,58658094.54,60448875.92,43897829.74,16551046.18,83568.95716,30727.38639,52841.57077,249941151.2,143137855.8,106803295.4,249941151.2,143137855.8,106803295.4,195045854.7,119836714,75209140.72
18,1992,16186723.14,9643810.029,18007489.19,87898910.38,31706252.06,56192658.32,23020241.04,6376705.248,16643535.8,728020.9112,256975.2501,471045.6611,142901646.8,48355949.91,94545696.93,142901646.8,48355949.91,94545696.93,110919151.4,38082957.31,72836194.11
19,1993,3508372.363,3876983.869,12309739.28,36240341.97,14246286.38,21994055.59,10269833.88,4688385.398,5581448.48,160659.9608,137827.5659,22832.39488,63423723.64,22999437.7,40424285.94,63423723.64,22999437.7,40424285.94,46510175.85,18934671.77,27575504.07
20,1994,4078718.66,639995.7679,2868376.595,33794296.14,14668482.06,19125814.08,11794989.86,7246388.227,4548601.635,276622.431,0,276622.431,49857258.51,22554866.06,27302392.45,49857258.51,22554866.06,27302392.45,45589286,21914870.29,23674415.71
21,1995,2655660.737,534289.1932,3544429.467,33279345.05,9876369.296,23402975.76,25225591.33,12597701.35,12627889.98,43933.5068,43933.5068,0,62733232,23052293.34,39680938.66,62733232,23052293.34,39680938.66,58504936.38,22474070.64,36030865.74
22,1996,3838117.328,964497.1043,1691163.633,13280778.32,9031711.877,4249066.448,10952286.21,4467351.835,6484934.374,20573715.94,9742864.755,10830851.19,47605324.69,24349309.05,23256015.64,47605324.69,24349309.05,23256015.64,24233064.53,13499063.71,10734000.82
23,1997,3207261.554,2412354.506,1425762.823,3851011.705,1487090.243,2363921.462,6489931.321,4031124.451,2458806.87,644090.9578,305145.9133,338945.0445,15299224.36,8407438.111,6891786.253,15299224.36,8407438.111,6891786.253,10340943.03,5518214.694,4822728.332
24,1998,7369333.154,1398104.942,1809156.611,3965749.528,1708985.466,2256764.062,3107703.387,2212259.285,895444.1022,538879.0468,432510.7251,106368.3216,11508507.32,5915805.65,5592701.667,11508507.32,5915805.65,5592701.667,7073452.915,3921244.751,3152208.164
25,1999,5507592.562,3934890.042,3434443.113,5561468.197,3237415.319,2324052.878,5793831.287,4102792.503,1691038.785,250744.3517,134958.9854,115785.3662,19776547.52,11488729.53,8287817.997,19776547.52,11488729.53,8287817.997,11355299.48,7340207.821,4015091.663
26,2000,8375432.191,2162690.569,3344901.993,7626464.32,5006735.432,2619728.888,6613968.847,6371774.342,242194.5047,26847.37767,0,26847.37767,20470089.49,13720413.12,6749676.374,20470089.49,13720413.12,6749676.374,14240433.17,11378509.77,2861923.393
27,2001,10133796.85,1669517.755,6705914.436,10620355.73,2408396.177,8211959.555,5716547.881,1723654.586,3992893.295,119799.9821,63668.65182,56131.33025,26186410.22,6463987.723,19722422.5,26186410.22,6463987.723,19722422.5,16336903.61,4132050.763,12204852.85
28,2002,24146185.86,3347211.567,6786585.284,11577998.13,3221836.312,8356161.817,2352599.412,1009194.939,1343404.473,161726.2149,28291.60482,133434.6101,28163773.77,10057153.34,18106620.43,28163773.77,10057153.34,18106620.43,13930597.54,4231031.251,9699566.29
29,2003,9745845.992,6144037.882,18002147.98,28529912.06,4242790.296,24287121.76,3327662.641,652389.4301,2675273.211,51446.31268,0,51446.31268,58598940.49,11459160.85,47139779.64,58598940.49,11459160.85,47139779.64,31857574.7,4895179.726,26962394.97
30,2004,24115342.81,2073732.948,7672113.044,17027933.5,1669617.899,15358315.6,3784351.629,576779.3125,3207572.317,24945.50431,0,24945.50431,31353367.7,4372183.156,26981184.55,31353367.7,4372183.156,26981184.55,20812285.13,2246397.212,18565887.92
31,2005,37588512.25,2876795.912,21238546.89,37904443.13,10133354.73,27771088.4,8551986.375,2166971.967,6385014.407,280042.6922,0,280042.6922,74820972.14,15494388.18,59326583.96,74820972.14,15494388.18,59326583.96,46456429.51,12300326.7,34156102.81
32,2006,35892031.27,8214807.921,29373704.33,27884523.03,3902622.505,23981900.52,19940800.66,5128384.494,14812416.17,4310067.718,2330423.874,1979643.843,93617128.91,20543049.29,73074079.63,93617128.91,20543049.29,73074079.63,47825323.69,9031006.999,38794316.69
33,2007,17861624.42,14001984.64,21890046.63,29170669.65,9596731.464,19573938.19,8922860.08,4857287.058,4065573.023,235202.1836,163408.8689,71793.31473,78344988.13,28859046.64,49485941.49,78344988.13,28859046.64,49485941.49,38093529.73,14454018.52,23639511.21
34,2008,8241238.076,3935542.026,13926082.39,33680144.86,12770324.34,20909820.52,16260355.31,6200773.425,10059581.88,166037.8838,29794.70621,136243.1776,69090103.24,23081993.47,46008109.77,69090103.24,23081993.47,46008109.77,49940500.17,18971097.77,30969402.41
35,2009,5780380.92,2824105.708,5417132.368,28593362.21,13066312.63,15527049.58,7666590.036,3062713.391,4603876.645,1055331.21,954481.4634,100849.7462,46349589.59,19960110.48,26389479.11,46349589.59,19960110.48,26389479.11,36259952.25,16129026.02,20130926.23
36,2010,9477586.984,1414360.194,4366020.726,11030383.8,2092908.659,8937475.137,12780623.25,6060194.355,6720428.897,144836.876,24899.79738,119937.0787,29940952.73,9592363.004,20348589.73,29940952.73,9592363.004,20348589.73,23811007.05,8153103.013,15657904.03
37,2011,51768080.04,3866078.118,5611508.866,9958432.081,2354285.436,7604146.645,6176445.864,2830469.36,3345976.504,732992.162,435611.2753,297380.8867,27919566.3,10108352.18,17811214.12,27919566.3,10108352.18,17811214.12,16134877.95,5184754.796,10950123.15
38,2012,71487962.89,38945572.95,12822507.09,12623646.39,6495047.582,6128598.807,5306478.881,3239470.878,2067008.003,637028.0573,165215.984,471812.0733,71887394.14,49945449.95,21941944.2,71887394.14,49945449.95,21941944.2,17930125.27,9734518.461,8195606.81
39,2013,11915852.24,43468738.58,28019224.31,25269089.21,13549673.25,11719415.96,6330684.723,2081977.428,4248707.296,356147.1565,0,356147.1565,103919495.2,59188967.73,44730527.49,103919495.2,59188967.73,44730527.49,31599773.93,15631650.68,15968123.25
40,2014,13524066.63,2726741.607,9189110.629,50363075.72,24383670.1,25979405.62,22709709.28,16118694.55,6591014.739,29805.67146,0,29805.67146,85747275.61,43456040.22,42291235.39,85747275.61,43456040.22,42291235.39,73072785,40502364.64,32570420.36
41,2015,9583159.435,1807142.543,11716924.09,28752664.43,11925789.44,16826874.99,27573042.82,12886213.58,14686829.24,0,0,0,70467445.42,26876232.83,43591212.59,70467445.42,26876232.83,43591212.59,56325707.25,24812003.02,31513704.23
42,2016,7708253.471,997556.3811,8585603.054,13707051.75,4597159.888,9109891.861,24100710.91,1915640.686,22185070.22,122708.2879,0,122708.2879,47907236.88,7539402.848,40367834.04,47907236.88,7539402.848,40367834.04,37807762.66,6512800.574,31294962.08
43,2017,12558024.04,1017876.113,6690377.357,22243348.9,3560286.307,18683062.6,11033064.83,3932048.386,7101016.449,51566.57312,51566.57312,0,41230993.32,8618165.967,32612827.35,41230993.32,8618165.967,32612827.35,33276413.74,7492334.692,25784079.05
44,2018,19516768.86,232491.4167,12325532.62,13329058.06,1319974.072,12009083.99,3428559.958,1199673.215,2228886.743,0,0,0,30283132.83,2781354.144,27501778.69,30283132.83,2781354.144,27501778.69,16757618.02,2519647.287,14237970.73
45,2019,27170657.27,1966520.909,17550247.95,10040297.2,1409517.967,8630779.233,2951722.249,87652.99258,2864069.256,0,0,0,33342191.78,3578462.695,29763729.08,33342191.78,3578462.695,29763729.08,12992019.45,1497170.96,11494848.49
46,2021,9810786.14,6865886.008,20304771.26,17814473.01,5090425.722,12724047.29,2704284.841,606554.947,2097729.894,154261.7514,87342.47606,66919.27538,50979751.13,14338591.74,36641159.39,50979751.13,14338591.74,36641159.39,20518757.85,5696980.669,14821777.18
47,2022,16704116.02,2989624.7,6821161.44,26171172.07,4405535.439,21765636.63,4144017.482,1673242.931,2470774.55,0,0,0,41095834.5,9286266.784,31809567.72,41095834.5,9286266.784,31809567.72,30315189.55,6078778.371,24236411.18
