,ReproductiveFemales,logRS,Ovig_female_CO,PCod_RA2,PCod_RA3,FHS_lag2,FHS_RA2,NBT_3RA,SE.wind,AO_RA3,PDO_RA3,SST_May_July,NE.wind
ReproductiveFemales,1.00,-0.80,0.25,-0.38,-0.22,0.17,0.21,-0.23,0.17,0.55,-0.71,0.17,-0.30
logRS,-0.80,1.00,-0.39,0.41,0.15,-0.33,-0.44,-0.02,-0.04,-0.51,0.76,-0.37,0.27
Ovig_female_CO,0.25,-0.39,1.00,-0.38,-0.41,0.65,0.72,0.25,0.21,0.45,-0.61,-0.08,0.11
PCod_RA2,-0.38,0.41,-0.38,1.00,0.90,-0.47,-0.35,0.10,-0.04,-0.58,0.46,0.13,-0.09
PCod_RA3,-0.22,0.15,-0.41,0.90,1.00,-0.48,-0.39,0.21,-0.23,-0.59,0.32,0.16,-0.08
FHS_lag2,0.17,-0.33,0.65,-0.47,-0.48,1.00,0.97,-0.45,0.11,0.67,-0.57,-0.38,0.08
FHS_RA2,0.21,-0.44,0.72,-0.35,-0.39,0.97,1.00,-0.33,0.27,0.72,-0.71,-0.05,0.03
NBT_3RA,-0.23,-0.02,0.25,0.10,0.21,-0.45,-0.33,1.00,-0.13,-0.65,0.16,0.33,0.43
SE.wind,0.17,-0.04,0.21,-0.04,-0.23,0.11,0.27,-0.13,1.00,0.05,-0.01,0.07,0.10
AO_RA3,0.55,-0.51,0.45,-0.58,-0.59,0.67,0.72,-0.65,0.05,1.00,-0.73,-0.06,-0.31
PDO_RA3,-0.71,0.76,-0.61,0.46,0.32,-0.57,-0.71,0.16,-0.01,-0.73,1.00,0.01,0.12
SST_May_July,0.17,-0.37,-0.08,0.13,0.16,-0.38,-0.05,0.33,0.07,-0.06,0.01,1.00,-0.35
NE.wind,-0.30,0.27,0.11,-0.09,-0.08,0.08,0.03,0.43,0.10,-0.31,0.12,-0.35,1.00
